iter	Passed	Remaining
250	407	1214
251	408	1211
252	409	1208
253	410	1204
254	411	1200
255	411	1197
256	412	1193
257	413	1190
258	415	1188
259	416	1185
260	417	1181
261	418	1178
262	419	1175
263	420	1172
264	421	1169
265	422	1165
266	423	1162
267	424	1158
268	425	1155
269	426	1151
270	427	1149
271	428	1146
272	429	1144
273	431	1142
274	432	1139
275	433	1135
276	433	1132
277	435	1129
278	436	1127
279	437	1124
280	438	1121
281	439	1118
282	440	1116
283	442	1114
284	443	1111
285	444	1109
286	445	1106
287	446	1104
288	447	1101
289	448	1098
290	449	1096
291	450	1092
292	451	1090
293	452	1087
294	453	1084
295	454	1081
296	456	1079
297	457	1077
298	458	1075
299	460	1073
300	460	1070
301	461	1067
302	463	1065
303	464	1063
304	465	1061
305	466	1057
306	467	1055
307	468	1053
308	469	1050
309	471	1048
310	472	1046
311	473	1044
312	474	1042
313	475	1039
314	476	1036
315	477	1033
316	478	1031
317	479	1028
318	480	1025
319	481	1023
320	482	1020
321	483	1018
322	484	1016
323	486	1014
324	487	1012
325	489	1011
326	490	1009
327	491	1007
328	492	1004
329	493	1001
330	494	999
331	495	997
332	496	994
333	497	992
334	498	990
335	499	987
336	500	984
337	501	981
338	501	978
339	502	976
340	504	974
341	505	972
342	506	970
343	507	968
344	509	966
345	510	965
346	511	962
347	512	959
348	513	957
349	514	954
350	515	952
351	516	950
352	517	948
353	518	946
354	519	943
355	520	941
356	521	939
357	522	937
358	523	934
359	524	932
360	525	929
361	526	927
362	527	925
363	527	922
364	528	919
365	529	917
366	530	915
367	531	913
368	532	910
369	533	908
370	534	906
371	535	903
372	536	901
373	537	899
374	538	897
375	539	894
376	540	893
377	541	891
378	542	889
379	543	887
380	544	885
381	546	883
382	547	881
383	548	879
384	549	877
385	550	875
386	551	873
387	552	871
388	553	868
389	554	867
390	555	865
391	556	863
392	557	861
393	558	859
394	559	857
395	561	856
396	562	854
397	563	852
398	565	851
399	566	849
400	567	847
401	568	846
402	569	844
403	570	842
404	571	840
405	572	838
406	574	836
407	575	835
408	577	834
409	578	832
410	579	830
411	580	827
412	581	825
413	582	824
414	583	822
415	584	820
416	585	818
417	586	816
418	587	814
419	588	812
420	589	811
421	591	809
422	592	807
423	593	806
424	594	804
425	595	802
426	596	800
427	597	798
428	598	797
429	599	795
430	600	793
431	601	790
432	602	789
433	603	787
434	605	786
435	606	784
436	607	782
437	608	781
438	610	779
439	611	777
440	612	775
441	612	773
442	613	771
443	614	769
444	615	768
445	617	766
446	618	764
447	619	763
448	620	762
449	621	760
450	622	758
451	623	756
452	624	754
453	625	752
454	626	750
455	627	748
456	628	746
457	629	744
458	630	743
459	631	741
460	632	739
461	634	738
462	635	736
463	636	735
464	638	734
465	639	733
466	640	731
467	642	729
468	643	728
469	644	727
470	645	725
471	647	723
472	648	722
473	649	721
474	651	719
475	652	717
476	653	716
477	654	714
478	655	712
479	656	710
480	657	709
481	658	707
482	659	706
483	660	704
484	661	702
485	663	701
486	664	700
487	665	698
488	666	696
489	667	694
490	668	693
491	669	691
492	670	689
493	671	687
494	672	685
495	673	684
496	674	682
497	675	680
498	675	678
499	676	676
500	678	675
501	679	674
502	680	672
503	681	670
504	682	668
505	683	666
506	683	665
507	684	663
508	685	661
509	686	659
510	687	657
511	688	655
512	689	654
513	690	652
514	691	651
515	692	649
516	693	648
517	694	646
518	695	644
519	696	643
520	697	641
521	698	639
522	699	637
523	700	636
524	702	635
525	702	633
526	704	632
527	705	630
528	706	628
529	707	627
530	708	625
531	709	624
532	710	622
533	711	620
534	712	619
535	712	617
536	713	615
537	714	613
538	715	612
539	716	610
540	717	609
541	718	607
542	719	605
543	720	604
544	722	602
545	723	601
546	724	599
547	725	598
548	726	596
549	727	594
550	728	593
551	729	591
552	730	590
553	731	588
554	732	587
555	733	585
556	734	584
557	735	582
558	736	581
559	738	580
560	739	578
561	740	577
562	741	575
563	742	573
564	743	572
565	744	570
566	745	568
567	745	567
568	746	565
569	747	564
570	748	562
571	749	560
572	750	559
573	751	557
574	752	556
575	753	554
576	754	552
577	755	551
578	755	549
579	756	548
580	757	546
581	758	544
582	759	543
583	760	541
584	761	540
585	762	538
586	763	536
587	764	535
588	765	534
589	766	532
590	767	531
591	768	529
592	769	528
593	770	526
594	771	525
595	772	523
596	773	522
597	774	520
598	775	519
599	776	517
600	778	516
601	779	515
602	780	513
603	781	512
604	782	510
605	783	509
606	784	507
607	785	506
608	786	504
609	787	503
610	788	501
611	788	500
612	789	498
613	790	496
614	791	495
615	792	494
616	793	492
617	795	491
618	796	490
619	797	488
620	798	487
621	800	486
622	801	484
623	802	483
624	803	481
625	804	480
626	805	479
627	806	477
628	807	476
629	808	475
630	810	473
631	811	472
632	812	471
633	813	469
634	814	468
635	815	466
636	816	465
637	817	463
638	817	461
639	818	460
640	819	459
641	820	457
642	821	456
643	822	454
644	823	453
645	824	451
646	825	450
647	826	449
648	827	447
649	829	446
650	830	444
651	831	443
652	832	442
653	833	440
654	834	439
655	835	438
656	837	436
657	838	435
658	839	434
659	840	433
660	841	431
661	843	430
662	844	429
663	845	427
664	846	426
665	847	424
666	848	423
667	849	422
668	850	420
669	851	419
670	852	418
671	854	416
672	855	415
673	856	414
674	857	413
675	858	411
676	859	410
677	861	408
678	862	407
679	863	406
680	864	405
681	865	403
682	866	402
683	867	400
684	869	399
685	870	398
686	871	396
687	872	395
688	873	394
689	874	392
690	875	391
691	876	389
692	877	388
693	877	387
694	879	385
695	880	384
696	881	383
697	882	381
698	883	380
699	884	379
700	885	377
701	887	376
702	888	375
703	888	373
704	890	372
705	891	371
706	892	369
707	893	368
708	894	367
709	895	365
710	897	364
711	898	363
712	899	362
713	900	360
714	901	359
715	902	358
716	904	356
717	905	355
718	906	354
719	906	352
720	907	351
721	908	349
722	909	348
723	911	347
724	912	346
725	913	344
726	914	343
727	915	342
728	916	340
729	918	339
730	919	338
731	920	336
732	921	335
733	922	334
734	923	332
735	924	331
736	926	330
737	927	329
738	928	327
739	929	326
740	930	325
741	931	324
742	933	322
743	933	321
744	934	320
745	935	318
746	936	317
747	937	315
748	939	314
749	941	313
750	942	312
751	944	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	950	303
758	951	302
759	952	300
760	953	299
761	954	298
762	955	296
763	956	295
764	957	294
765	958	292
766	959	291
767	960	290
768	961	288
769	962	287
770	963	286
771	964	284
772	965	283
773	966	282
774	967	280
775	968	279
776	970	278
777	971	277
778	971	275
779	972	274
780	973	273
781	975	271
782	976	270
783	977	269
784	978	267
785	979	266
786	980	265
787	980	263
788	981	262
789	982	261
790	983	259
791	984	258
792	985	257
793	987	256
794	988	254
795	988	253
796	989	252
797	990	250
798	991	249
799	992	248
800	993	246
801	994	245
802	995	244
803	997	243
804	998	241
805	999	240
806	1000	239
807	1001	237
808	1002	236
809	1002	235
810	1003	233
811	1004	232
812	1005	231
813	1006	230
814	1007	228
815	1009	227
816	1010	226
817	1011	225
818	1012	223
819	1013	222
820	1014	221
821	1015	219
822	1016	218
823	1017	217
824	1018	216
825	1020	214
826	1021	213
827	1022	212
828	1023	211
829	1024	209
830	1025	208
831	1025	207
832	1026	205
833	1027	204
834	1029	203
835	1029	202
836	1031	200
837	1031	199
838	1032	198
839	1033	196
840	1034	195
841	1035	194
842	1036	192
843	1037	191
844	1038	190
845	1039	189
846	1040	187
847	1041	186
848	1042	185
849	1044	184
850	1045	183
851	1046	181
852	1048	180
853	1049	179
854	1050	178
855	1051	176
856	1052	175
857	1053	174
858	1055	173
859	1056	171
860	1057	170
861	1058	169
862	1059	168
863	1061	167
864	1062	165
865	1062	164
866	1063	163
867	1065	161
868	1066	160
869	1066	159
870	1067	158
871	1068	156
872	1069	155
873	1070	154
874	1072	153
875	1073	151
876	1074	150
877	1075	149
878	1076	148
879	1077	146
880	1079	145
881	1080	144
882	1081	143
883	1082	142
884	1083	140
885	1084	139
886	1085	138
887	1086	137
888	1088	135
889	1089	134
890	1090	133
891	1091	132
892	1092	130
893	1093	129
894	1094	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1102	119
902	1103	118
903	1104	117
904	1105	116
905	1106	114
906	1107	113
907	1108	112
908	1109	111
909	1110	109
910	1111	108
911	1112	107
912	1113	106
913	1114	104
914	1115	103
915	1116	102
916	1116	101
917	1117	99
918	1118	98
919	1119	97
920	1120	96
921	1121	94
922	1122	93
923	1123	92
924	1124	91
925	1125	89
926	1125	88
927	1126	87
928	1127	86
929	1128	84
930	1130	83
931	1130	82
932	1131	81
933	1132	80
934	1133	78
935	1134	77
936	1135	76
937	1136	75
938	1136	73
939	1137	72
940	1138	71
941	1139	70
942	1140	68
943	1141	67
944	1142	66
945	1143	65
946	1144	64
947	1145	62
948	1146	61
949	1147	60
950	1148	59
951	1149	57
952	1150	56
953	1151	55
954	1152	54
955	1153	53
956	1154	51
957	1155	50
958	1156	49
959	1157	48
960	1157	46
961	1159	45
962	1160	44
963	1161	43
964	1162	42
965	1163	40
966	1164	39
967	1164	38
968	1165	37
969	1166	36
970	1168	34
971	1169	33
972	1170	32
973	1171	31
974	1172	30
975	1173	28
976	1173	27
977	1175	26
978	1175	25
979	1176	24
980	1177	22
981	1178	21
982	1179	20
983	1180	19
984	1181	17
985	1182	16
986	1183	15
987	1183	14
988	1184	13
989	1185	11
990	1186	10
991	1187	9
992	1188	8
993	1189	7
994	1190	5
995	1190	4
996	1191	3
997	1192	2
998	1193	1
999	1195	0
